kind,contrast,split,n_far,n_total,frac_far,p_rp_far,p_sft_far,gap_pp
quartile,Q1_easy,indist,1022,2000,0.511,0.0695,0.046,2.35
quartile,Q1_easy,ood,1978,3532,0.56,0.0319,0.0334,-0.15
quartile,Q1_easy,synthetic,63,145,0.434,0.1587,0.2063,-4.76
quartile,Q2,indist,1022,2000,0.511,0.045,0.0411,0.39
quartile,Q2,ood,1978,3532,0.56,0.0263,0.0298,-0.35
quartile,Q2,synthetic,63,145,0.434,0.0476,0.127,-7.94
quartile,Q3,indist,1022,2000,0.511,0.0411,0.0323,0.88
quartile,Q3,ood,1978,3532,0.56,0.0253,0.0207,0.46
quartile,Q3,synthetic,63,145,0.434,0.1111,0.0794,3.17
quartile,Q4_hard,indist,1022,2000,0.511,0.0274,0.0245,0.29
quartile,Q4_hard,ood,1978,3532,0.56,0.0303,0.0197,1.06
quartile,Q4_hard,synthetic,63,145,0.434,0.127,0.127,0.0
rank,r16_8k,indist,1022,2000,0.511,0.0205,0.0127,0.78
rank,r16_8k,ood,1978,3532,0.56,0.0212,0.0182,0.3
rank,r16_8k,synthetic,63,145,0.434,0.0794,0.0794,0.0
rank,r16_seed1_held,indist,1022,2000,0.511,0.0166,0.0284,-1.17
rank,r16_seed1_held,ood,1978,3532,0.56,0.0253,0.0293,-0.4
rank,r16_seed1_held,synthetic,63,145,0.434,0.127,0.0794,4.76
rank,r8_seed1_held,indist,1022,2000,0.511,0.0235,0.0186,0.49
rank,r8_seed1_held,ood,1978,3532,0.56,0.0238,0.0248,-0.1
rank,r8_seed1_held,synthetic,63,145,0.434,0.0635,0.0635,0.0
rank,r8_seed2,indist,1022,2000,0.511,0.0215,0.0284,-0.68
rank,r8_seed2,ood,1978,3532,0.56,0.0288,0.0217,0.71
rank,r8_seed2,synthetic,63,145,0.434,0.254,0.1746,7.94
rank,r32,indist,1022,2000,0.511,0.0205,0.0215,-0.1
rank,r32,ood,1978,3532,0.56,0.0222,0.0187,0.35
rank,r32,synthetic,63,145,0.434,0.0952,0.0476,4.76
