kind,contrast,split,n_far,n_total,frac_far,p_rp_far,p_sft_far,gap_pp
quartile,Q1_easy,indist,511,2000,0.256,0.0705,0.0352,3.52
quartile,Q1_easy,ood,1034,3532,0.293,0.0319,0.029,0.29
quartile,Q1_easy,synthetic,31,145,0.214,0.129,0.1935,-6.45
quartile,Q2,indist,511,2000,0.256,0.0568,0.0411,1.57
quartile,Q2,ood,1034,3532,0.293,0.0261,0.0251,0.1
quartile,Q2,synthetic,31,145,0.214,0.0968,0.129,-3.23
quartile,Q3,indist,511,2000,0.256,0.0528,0.0333,1.96
quartile,Q3,ood,1034,3532,0.293,0.0193,0.0193,0.0
quartile,Q3,synthetic,31,145,0.214,0.0968,0.0968,0.0
quartile,Q4_hard,indist,511,2000,0.256,0.0254,0.0274,-0.2
quartile,Q4_hard,ood,1034,3532,0.293,0.0329,0.0145,1.84
quartile,Q4_hard,synthetic,31,145,0.214,0.1613,0.1613,0.0
rank,r16_8k,indist,511,2000,0.256,0.0196,0.0117,0.78
rank,r16_8k,ood,1034,3532,0.293,0.0213,0.0193,0.19
rank,r16_8k,synthetic,31,145,0.214,0.0968,0.0645,3.23
rank,r16_seed1_held,indist,511,2000,0.256,0.0157,0.0294,-1.37
rank,r16_seed1_held,ood,1034,3532,0.293,0.0203,0.03,-0.97
rank,r16_seed1_held,synthetic,31,145,0.214,0.1613,0.129,3.23
rank,r8_seed1_held,indist,511,2000,0.256,0.0333,0.0196,1.37
rank,r8_seed1_held,ood,1034,3532,0.293,0.0222,0.0232,-0.1
rank,r8_seed1_held,synthetic,31,145,0.214,0.0968,0.0968,0.0
rank,r8_seed2,indist,511,2000,0.256,0.0196,0.0215,-0.2
rank,r8_seed2,ood,1034,3532,0.293,0.0319,0.0184,1.35
rank,r8_seed2,synthetic,31,145,0.214,0.2903,0.2258,6.45
rank,r32,indist,511,2000,0.256,0.0215,0.0274,-0.59
rank,r32,ood,1034,3532,0.293,0.0213,0.0193,0.19
rank,r32,synthetic,31,145,0.214,0.1613,0.0645,9.68
